Method,Fold,Dialect,,H,N,accuracy,macro avg,weighted avg
bert,fold_1,PT-BR,f1-score,"0,6460980036297641","0,6849757673667205","0,6666666666666666","0,6655368854982423","0,6657694875035061"
bert,fold_1,PT-BR,support,"289,0","296,0","0,6666666666666666","585,0","585,0"
bert,fold_1,PT-PT,precision,"0,5689655172413793","0,5277777777777778","0,5461538461538461","0,5483716475095786","0,5490053050397878"
bert,fold_1,PT-PT,recall,"0,4925373134328358","0,6031746031746031","0,5461538461538461","0,5478559583037195","0,5461538461538461"
bert,fold_1,PT-PT,f1-score,"0,528","0,562962962962963","0,5461538461538461","0,5454814814814815","0,5449435897435898"
bert,fold_1,PT-PT,support,"67,0","63,0","0,5461538461538461","130,0","130,0"
bert,fold_2,PT-BR,precision,"0,7022900763358778","0,6823899371069182","0,6913793103448276","0,6923400067213981","0,6921684537970105"
bert,fold_2,PT-BR,recall,"0,6456140350877193","0,735593220338983","0,6913793103448276","0,6906036277133512","0,6913793103448276"
bert,fold_2,PT-BR,f1-score,"0,6727605118829981","0,7079934747145187","0,6913793103448276","0,6903769932987585","0,6906807257369612"
bert,fold_2,PT-BR,support,"285,0","295,0","0,6913793103448276","580,0","580,0"
bert,fold_2,PT-PT,precision,"0,576271186440678","0,5064935064935064","0,5367647058823529","0,5413823464670922","0,5434346311714208"
bert,fold_2,PT-PT,recall,"0,4722222222222222","0,609375","0,5367647058823529","0,5407986111111112","0,5367647058823529"
bert,fold_2,PT-PT,f1-score,"0,5190839694656489","0,553191489361702","0,5367647058823529","0,5361377294136755","0,5351345670637916"
bert,fold_2,PT-PT,support,"72,0","64,0","0,5367647058823529","136,0","136,0"
bert,fold_3,PT-BR,precision,"0,7027027027027027","0,6594427244582043","0,6786941580756014","0,6810727135804535","0,6811470434399801"
bert,fold_3,PT-BR,recall,"0,6232876712328768","0,7344827586206897","0,6786941580756014","0,6788852149267832","0,6786941580756014"
bert,fold_3,PT-BR,f1-score,"0,6606170598911072","0,694942903752039","0,6786941580756014","0,6777799818215731","0,67772100270841"
bert,fold_3,PT-BR,support,"292,0","290,0","0,6786941580756014","582,0","582,0"
bert,fold_3,PT-PT,precision,"0,5178571428571429","0,5405405405405406","0,5307692307692308","0,5291988416988418","0,5295478170478171"
bert,fold_3,PT-PT,recall,"0,4603174603174603","0,5970149253731343","0,5307692307692308","0,5286661928452973","0,5307692307692308"
bert,fold_3,PT-PT,f1-score,"0,48739495798319327","0,5673758865248227","0,5307692307692308","0,527385422254008","0,5286158980777254"
bert,fold_3,PT-PT,support,"63,0","67,0","0,5307692307692308","130,0","130,0"
bert,fold_4,PT-BR,precision,"0,6330935251798561","0,6482084690553745","0,6410256410256411","0,6406509971176153","0,6408706159602511"
bert,fold_4,PT-BR,recall,"0,6197183098591549","0,6611295681063123","0,6410256410256411","0,6404239389827335","0,6410256410256411"
bert,fold_4,PT-BR,f1-score,"0,6263345195729537","0,6546052631578946","0,6410256410256411","0,6404698913654241","0,6408806628534104"
bert,fold_4,PT-BR,support,"284,0","301,0","0,6410256410256411","585,0","585,0"
bert,fold_4,PT-PT,precision,"0,6538461538461539","0,5064935064935064","0,5658914728682171","0,5801698301698301","0,5887368445507981"
bert,fold_4,PT-PT,recall,"0,4722222222222222","0,6842105263157895","0,5658914728682171","0,5782163742690059","0,5658914728682171"
bert,fold_4,PT-PT,f1-score,"0,5483870967741936","0,5820895522388059","0,5658914728682171","0,5652383245064998","0,5632788794213479"
bert,fold_4,PT-PT,support,"72,0","57,0","0,5658914728682171","129,0","129,0"
bert,fold_5,PT-BR,precision,"0,6814814814814815","0,6697819314641744","0,6751269035532995","0,6756317064728279","0,6755228274117532"
bert,fold_5,PT-BR,recall,"0,6344827586206897","0,7142857142857143","0,6751269035532995","0,674384236453202","0,6751269035532995"
bert,fold_5,PT-BR,f1-score,"0,6571428571428573","0,6913183279742766","0,6751269035532995","0,674230592558567","0,6745486383954076"
bert,fold_5,PT-BR,support,"290,0","301,0","0,6751269035532995","591,0","591,0"
bert,fold_5,PT-PT,precision,"0,5925925925925926","0,5285714285714286","0,5564516129032258","0,5605820105820105","0,5621309097115549"
bert,fold_5,PT-PT,recall,"0,49230769230769234","0,6271186440677966","0,5564516129032258","0,5597131681877445","0,5564516129032258"
bert,fold_5,PT-PT,f1-score,"0,5378151260504201","0,5736434108527132","0,5564516129032258","0,5557292684515667","0,5548624551095757"
bert,fold_5,PT-PT,support,"65,0","59,0","0,5564516129032258","124,0","124,0"
bert,fold_6,PT-BR,precision,"0,726962457337884","0,7023411371237458","0,714527027027027","0,7146517972308148","0,7149013376383906"
bert,fold_6,PT-BR,recall,"0,7052980132450332","0,7241379310344828","0,714527027027027","0,714717972139758","0,714527027027027"
bert,fold_6,PT-BR,f1-score,"0,7159663865546219","0,7130730050933786","0,714527027027027","0,7145196958240002","0,7145490206361074"
bert,fold_6,PT-BR,support,"302,0","290,0","0,714527027027027","592,0","592,0"
bert,fold_6,PT-PT,precision,"0,48148148148148145","0,6086956521739131","0,5528455284552846","0,5450885668276972","0,5538797900056295"
bert,fold_6,PT-PT,recall,"0,49056603773584906","0,6","0,5528455284552846","0,5452830188679245","0,5528455284552846"
bert,fold_6,PT-PT,f1-score,"0,48598130841121495","0,6043165467625898","0,5528455284552846","0,5451489275869024","0,5533265660095584"
bert,fold_6,PT-PT,support,"53,0","70,0","0,5528455284552846","123,0","123,0"
bert,fold_7,PT-BR,precision,"0,6764705882352942","0,6485623003194888","0,6615384615384615","0,6625164442773914","0,6625880039899962"
bert,fold_7,PT-BR,recall,"0,6258503401360545","0,697594501718213","0,6615384615384615","0,6617224209271337","0,6615384615384615"
