Method,Fold,,H,N,accuracy,macro avg,weighted avg
content_features,fold_4,precision,"0,19019607843137254","0,16560509554140126","0,1783893985728848","0,1779005869863869","0,17788805335596386"
content_features,fold_4,recall,"0,19795918367346937","0,15885947046843177","0,1783893985728848","0,17840932707095059","0,1783893985728848"
content_features,fold_4,f1-score,"0,194","0,16216216216216217","0,1783893985728848","0,1780810810810811","0,17806485384467036"
content_features,fold_4,support,"490,0","491,0","0,1783893985728848","981,0","981,0"
content_features,fold_5,precision,"0,15184381778741865","0,19230769230769232","0,17329255861365953","0,17207575504755548","0,1720963788368115"
content_features,fold_5,recall,"0,14285714285714285","0,20366598778004075","0,17329255861365953","0,1732615653185918","0,17329255861365953"
content_features,fold_5,f1-score,"0,14721345951629863","0,1978239366963403","0,17329255861365953","0,17251869810631948","0,17254449345656414"
content_features,fold_5,support,"490,0","491,0","0,17329255861365953","981,0","981,0"
content_features,fold_6,precision,"0,18619246861924685","0,20119521912350596","0,19387755102040816","0,1936938438713764","0,1936938438713764"
content_features,fold_6,recall,"0,1816326530612245","0,20612244897959184","0,19387755102040816","0,19387755102040816","0,19387755102040816"
content_features,fold_6,f1-score,"0,18388429752066118","0,20362903225806453","0,19387755102040816","0,19375666488936286","0,19375666488936286"
content_features,fold_6,support,"490,0","490,0","0,19387755102040816","980,0","980,0"
content_features,fold_7,precision,"0,17025862068965517","0,20348837209302326","0,18775510204081633","0,1868734963913392","0,1868734963913392"
content_features,fold_7,recall,"0,16122448979591836","0,21428571428571427","0,18775510204081633","0,1877551020408163","0,18775510204081633"
content_features,fold_7,f1-score,"0,16561844863731653","0,20874751491053678","0,18775510204081633","0,18718298177392667","0,18718298177392664"
content_features,fold_7,support,"490,0","490,0","0,18775510204081633","980,0","980,0"
content_features,fold_8,precision,"0,17372881355932204","0,1968503937007874","0,18571428571428572","0,18528960363005473","0,18528960363005476"
content_features,fold_8,recall,"0,1673469387755102","0,20408163265306123","0,18571428571428572","0,18571428571428572","0,18571428571428572"
content_features,fold_8,f1-score,"0,17047817047817052","0,20040080160320645","0,18571428571428572","0,1854394860406885","0,18543948604068847"
content_features,fold_8,support,"490,0","490,0","0,18571428571428572","980,0","980,0"
content_features,fold_9,precision,"0,16806722689075632","0,1865079365079365","0,17755102040816326","0,1772875816993464","0,17728758169934639"
content_features,fold_9,recall,"0,16326530612244897","0,19183673469387755","0,17755102040816326","0,17755102040816326","0,17755102040816326"
content_features,fold_9,f1-score,"0,16563146997929606","0,18913480885311873","0,17755102040816326","0,1773831394162074","0,1773831394162074"
content_features,fold_9,support,"490,0","490,0","0,17755102040816326","980,0","980,0"
humor_features,fold_0,precision,"0,3318777292576419","0,35181644359464626","0,3425076452599388","0,3418470864261441","0,3418369239825473"
humor_features,fold_0,recall,"0,3095723014256619","0,37551020408163266","0,3425076452599388","0,3425412527536473","0,3425076452599388"
humor_features,fold_0,f1-score,"0,3203371970495258","0,3632773938795656","0,3425076452599388","0,3418072954645457","0,34178540953343967"
humor_features,fold_0,support,"491,0","490,0","0,3425076452599388","981,0","981,0"
humor_features,fold_1,precision,"0,36486486486486486","0,34773218142548595","0,3567787971457696","0,3562985231451754","0,3563072553997317"
humor_features,fold_1,recall,"0,384928716904277","0,32857142857142857","0,3567787971457696","0,35675007273785275","0,3567787971457696"
humor_features,fold_1,f1-score,"0,37462834489593655","0,33788037775445956","0,3567787971457696","0,35625436132519805","0,35627309117593275"
humor_features,fold_1,support,"491,0","490,0","0,3567787971457696","981,0","981,0"
humor_features,fold_2,precision,"0,3832684824902724","0,37044967880085655","0,37716615698267075","0,3768590806455645","0,3768656141846518"
humor_features,fold_2,recall,"0,40122199592668023","0,35306122448979593","0,37716615698267075","0,3771416102082381","0,37716615698267075"
humor_features,fold_2,f1-score,"0,3920398009950249","0,3615464994775339","0,37716615698267075","0,3767931502362794","0,3768086921840457"
humor_features,fold_2,support,"491,0","490,0","0,37716615698267075","981,0","981,0"
humor_features,fold_3,precision,"0,34","0,33471933471933474","0,33741080530071355","0,3373596673596674","0,33735697588908603"
humor_features,fold_3,recall,"0,3469387755102041","0,32790224032586557","0,33741080530071355","0,3374205079180348","0,33741080530071355"
humor_features,fold_3,f1-score,"0,3434343434343435","0,3312757201646091","0,33741080530071355","0,3373550317994763","0,3373488347437833"
humor_features,fold_3,support,"490,0","491,0","0,33741080530071355","981,0","981,0"
humor_features,fold_4,precision,"0,3645621181262729","0,3653061224489796","0,36493374108053006","0,3649341202876263","0,36493449949472245"
humor_features,fold_4,recall,"0,3653061224489796","0,3645621181262729","0,36493374108053006","0,3649341202876263","0,36493374108053006"
humor_features,fold_4,f1-score,"0,36493374108053006","0,36493374108053006","0,36493374108053006","0,36493374108053006","0,36493374108053006"
humor_features,fold_4,support,"490,0","491,0","0,36493374108053006","981,0","981,0"
humor_features,fold_5,precision,"0,35306122448979593","0,3543788187372709","0,35372069317023447","0,35372002161353344","0,35372069317023447"
humor_features,fold_5,recall,"0,35306122448979593","0,3543788187372709","0,35372069317023447","0,35372002161353344","0,35372069317023447"
humor_features,fold_5,f1-score,"0,35306122448979593","0,3543788187372709","0,35372069317023447","0,35372002161353344","0,35372069317023447"
humor_features,fold_5,support,"490,0","491,0","0,35372069317023447","981,0","981,0"
humor_features,fold_6,precision,"0,3420523138832998","0,33747412008281574","0,33979591836734696","0,3397632169830578","0,3397632169830578"
humor_features,fold_6,recall,"0,3469387755102041","0,3326530612244898","0,33979591836734696","0,3397959183673469","0,33979591836734696"
humor_features,fold_6,f1-score,"0,3444782168186424","0,33504624871531347","0,33979591836734696","0,3397622327669779","0,33976223276697787"
humor_features,fold_6,support,"490,0","490,0","0,33979591836734696","980,0","980,0"
humor_features,fold_7,precision,"0,3286290322580645","0,3243801652892562","0,32653061224489793","0,32650459877366034","0,32650459877366034"
humor_features,fold_7,recall,"0,3326530612244898","0,32040816326530613","0,32653061224489793","0,326530612244898","0,32653061224489793"
humor_features,fold_7,f1-score,"0,3306288032454361","0,32238193018480493","0,32653061224489793","0,32650536671512054","0,32650536671512054"
humor_features,fold_7,support,"490,0","490,0","0,32653061224489793","980,0","980,0"
humor_features,fold_8,precision,"0,3619631901840491","0,3625254582484725","0,3622448979591837","0,3622443242162608","0,3622443242162608"
humor_features,fold_8,recall,"0,36122448979591837","0,363265306122449","0,3622448979591837","0,3622448979591837","0,3622448979591837"
humor_features,fold_8,f1-score,"0,3615934627170582","0,3628950050968399","0,3622448979591837","0,36224423390694904","0,36224423390694904"
humor_features,fold_8,support,"490,0","490,0","0,3622448979591837","980,0","980,0"
humor_features,fold_9,precision,"0,3588235294117647","0,3468085106382979","0,35306122448979593","0,3528160200250313","0,35281602002503126"
humor_features,fold_9,recall,"0,373469387755102","0,3326530612244898","0,35306122448979593","0,35306122448979593","0,35306122448979593"
humor_features,fold_9,f1-score,"0,36599999999999994","0,33958333333333335","0,35306122448979593","0,3527916666666666","0,3527916666666666"
humor_features,fold_9,support,"490,0","490,0","0,35306122448979593","980,0","980,0"
