Method,Dialect,Fold,,H,N,accuracy,macro avg,weighted avg
albertina,PT_PT,fold_8,support,"65,0","65,0","0,5","130,0","130,0"
albertina,PT_PT,fold_9,precision,"0,0","0,5","0,5","0,25","0,25"
albertina,PT_PT,fold_9,recall,"0,0","1,0","0,5","0,5","0,5"
albertina,PT_PT,fold_9,f1-score,"0,0","0,6666666666666666","0,5","0,3333333333333333","0,3333333333333333"
albertina,PT_PT,fold_9,support,"65,0","65,0","0,5","130,0","130,0"
albertina_base,PT_BR,fold_0,precision,"0,6788321167883211","0,659016393442623","0,6683937823834197","0,668924255115472","0,6689413671390867"
albertina_base,PT_BR,fold_0,recall,"0,6413793103448275","0,6955017301038062","0,6683937823834197","0,6684405202243169","0,6683937823834197"
albertina_base,PT_BR,fold_0,f1-score,"0,6595744680851063","0,6767676767676768","0,6683937823834197","0,6681710724263916","0,668156225095923"
albertina_base,PT_BR,fold_0,support,"290,0","289,0","0,6683937823834197","579,0","579,0"
albertina_base,PT_BR,fold_1,precision,"0,7207207207207207","0,6358543417366946","0,6683937823834197","0,6782875312287077","0,6783608182571913"
albertina_base,PT_BR,fold_1,recall,"0,5517241379310345","0,7854671280276817","0,6683937823834197","0,6685956329793581","0,6683937823834197"
albertina_base,PT_BR,fold_1,f1-score,"0,625","0,7027863777089783","0,6683937823834197","0,6638931888544892","0,6638260158167439"
albertina_base,PT_BR,fold_1,support,"290,0","289,0","0,6683937823834197","579,0","579,0"
albertina_base,PT_BR,fold_2,precision,"0,7891891891891892","0,6345177664974619","0,6839378238341969","0,7118534778433256","0,7119870455658572"
albertina_base,PT_BR,fold_2,recall,"0,503448275862069","0,8650519031141869","0,6839378238341969","0,6842500894881279","0,6839378238341969"
albertina_base,PT_BR,fold_2,f1-score,"0,6147368421052632","0,7320644216691069","0,6839378238341969","0,673400631887185","0,6732993127338484"
albertina_base,PT_BR,fold_2,support,"290,0","289,0","0,6839378238341969","579,0","579,0"
albertina_base,PT_BR,fold_3,precision,"0,7526315789473684","0,622107969151671","0,6649395509499136","0,6873697740495197","0,6874824887384624"
albertina_base,PT_BR,fold_3,recall,"0,49310344827586206","0,8373702422145328","0,6649395509499136","0,6652368452451974","0,6649395509499136"
albertina_base,PT_BR,fold_3,f1-score,"0,5958333333333332","0,7138643067846607","0,6649395509499136","0,654848820058997","0,6547468934843412"
albertina_base,PT_BR,fold_3,support,"290,0","289,0","0,6649395509499136","579,0","579,0"
albertina_base,PT_BR,fold_4,precision,"0,7201834862385321","0,6343490304709142","0,6666666666666666","0,6772662583547231","0,6771921353359255"
albertina_base,PT_BR,fold_4,recall,"0,5432525951557093","0,7896551724137931","0,6666666666666666","0,6664538837847512","0,6666666666666666"
albertina_base,PT_BR,fold_4,f1-score,"0,6193293885601577","0,7035330261136714","0,6666666666666666","0,6614312073369146","0,6615039220498278"
albertina_base,PT_BR,fold_4,support,"289,0","290,0","0,6666666666666666","579,0","579,0"
albertina_base,PT_BR,fold_5,precision,"0,6819923371647509","0,6509433962264151","0,6649395509499136","0,666467866695583","0,6664410541386414"
albertina_base,PT_BR,fold_5,recall,"0,615916955017301","0,7137931034482758","0,6649395509499136","0,6648550292327884","0,6649395509499136"
albertina_base,PT_BR,fold_5,f1-score,"0,6472727272727272","0,6809210526315789","0,6649395509499136","0,6640968899521531","0,6641259472279379"
albertina_base,PT_BR,fold_5,support,"289,0","290,0","0,6649395509499136","579,0","579,0"
albertina_base,PT_BR,fold_6,precision,"0,6597222222222222","0,6597938144329897","0,6597582037996546","0,6597580183276059","0,6597580801516222"
albertina_base,PT_BR,fold_6,recall,"0,657439446366782","0,6620689655172414","0,6597582037996546","0,6597542059420116","0,6597582037996546"
albertina_base,PT_BR,fold_6,f1-score,"0,658578856152513","0,6609294320137694","0,6597582037996546","0,6597541440831411","0,659756173941398"
albertina_base,PT_BR,fold_6,support,"289,0","290,0","0,6597582037996546","579,0","579,0"
albertina_base,PT_BR,fold_7,precision,"0,7621951219512195","0,6048192771084338","0,6493955094991365","0,6835071995298266","0,6833712963822941"
albertina_base,PT_BR,fold_7,recall,"0,43252595155709345","0,8655172413793103","0,6493955094991365","0,6490215964682019","0,6493955094991365"
albertina_base,PT_BR,fold_7,f1-score,"0,5518763796909493","0,7120567375886525","0,6493955094991365","0,6319665586398009","0,632104883646621"
albertina_base,PT_BR,fold_7,support,"289,0","290,0","0,6493955094991365","579,0","579,0"
albertina_base,PT_BR,fold_8,precision,"0,7573529411764706","0,579185520361991","0,6211072664359861","0,6682692307692308","0,6682692307692307"
albertina_base,PT_BR,fold_8,recall,"0,356401384083045","0,8858131487889274","0,6211072664359861","0,6211072664359862","0,6211072664359861"
albertina_base,PT_BR,fold_8,f1-score,"0,4847058823529412","0,7004103967168264","0,6211072664359861","0,5925581395348838","0,5925581395348838"
albertina_base,PT_BR,fold_8,support,"289,0","289,0","0,6211072664359861","578,0","578,0"
albertina_base,PT_BR,fold_9,precision,"0,7709923664122137","0,5794183445190156","0,6228373702422145","0,6752053554656147","0,6752053554656147"
albertina_base,PT_BR,fold_9,recall,"0,3494809688581315","0,8961937716262975","0,6228373702422145","0,6228373702422145","0,6228373702422145"
albertina_base,PT_BR,fold_9,f1-score,"0,4809523809523809","0,7038043478260869","0,6228373702422145","0,592378364389234","0,5923783643892339"
albertina_base,PT_BR,fold_9,support,"289,0","289,0","0,6228373702422145","578,0","578,0"
albertina_base,PT_PT,fold_0,precision,"0,584070796460177","1,0","0,6412213740458015","0,7920353982300885","0,7904478821860434"
albertina_base,PT_PT,fold_0,recall,"1,0","0,27692307692307694","0,6412213740458015","0,6384615384615384","0,6412213740458015"
albertina_base,PT_PT,fold_0,f1-score,"0,7374301675977654","0,4337349397590362","0,6412213740458015","0,5855825536784007","0,5867416957693882"
albertina_base,PT_PT,fold_0,support,"66,0","65,0","0,6412213740458015","131,0","131,0"
albertina_base,PT_PT,fold_1,precision,"0,64","0,9354838709677419","0,7099236641221374","0,787741935483871","0,7866141344496429"
albertina_base,PT_PT,fold_1,recall,"0,9696969696969697","0,4461538461538462","0,7099236641221374","0,7079254079254079","0,7099236641221374"
albertina_base,PT_PT,fold_1,f1-score,"0,7710843373493975","0,6041666666666666","0,7099236641221374","0,6876255020080321","0,6882625923541493"
albertina_base,PT_PT,fold_1,support,"66,0","65,0","0,7099236641221374","131,0","131,0"
albertina_base,PT_PT,fold_2,precision,"0,6162790697674418","0,7333333333333333","0,6564885496183206","0,6748062015503875","0,6752529735487306"
albertina_base,PT_PT,fold_2,recall,"0,8153846153846154","0,5","0,6564885496183206","0,6576923076923077","0,6564885496183206"
albertina_base,PT_PT,fold_2,f1-score,"0,7019867549668873","0,5945945945945945","0,6564885496183206","0,6482906747807409","0,647880781038862"
albertina_base,PT_PT,fold_2,support,"65,0","66,0","0,6564885496183206","131,0","131,0"
albertina_base,PT_PT,fold_3,precision,"0,5454545454545454","0,5204081632653061","0,5267175572519084","0,5329313543599258","0,5328357574813408"
albertina_base,PT_PT,fold_3,recall,"0,27692307692307694","0,7727272727272727","0,5267175572519084","0,5248251748251749","0,5267175572519084"
albertina_base,PT_PT,fold_3,f1-score,"0,3673469387755102","0,6219512195121951","0,5267175572519084","0,4946490791438527","0,49562085120773314"
albertina_base,PT_PT,fold_3,support,"65,0","66,0","0,5267175572519084","131,0","131,0"
albertina_base,PT_PT,fold_4,precision,"0,0","0,5","0,5","0,25","0,25"
albertina_base,PT_PT,fold_4,recall,"0,0","1,0","0,5","0,5","0,5"
albertina_base,PT_PT,fold_4,f1-score,"0,0","0,6666666666666666","0,5","0,3333333333333333","0,3333333333333333"
albertina_base,PT_PT,fold_4,support,"65,0","65,0","0,5","130,0","130,0"
